Score,Text,Summary,HelpfulnessNumerator,HelpfulnessDenominator,helpfulness_ratio,word_count,Sentiment,clean_text
5,"This is a very high quality dog food with meat and fruits, and 0 grains. My dog loves the food after I switched him from a pretty decent dog food (kirkland super premium adult chicken formula), but I noticed my dog was licking his paws and was scratching every once in a while on that food. I switched to this food and no more licking his paws, he scratches less, and has a beautiful coat.<br /><br />dogfoodanalysis.com has this as a 6 out of 6 star dog food and it truly is a top end choice. It is a bit pricy at $50 for 25lbs, but much cheaper than Orijen it appears. Too bad they don't make a 40lb bag!",Outstanding Food!!!,1,1,1.0,120,Positive,high quality dog food meat fruits 0 grains dog loves food switched pretty decent dog food kirkland super premium adult chicken formula noticed dog licking paws scratching every food switched food licking paws scratches less beautiful coatbr br dogfoodanalysiscom 6 6 star dog food truly top end choice bit pricy 50 25lbs much cheaper orijen appears bad dont make 40lb bag
5,I love this cake mix and the other 3 mixes as well.  They are incredible & amazon offers the best price around.  I am so thankful for Betty Crocker for coming out with these mixes since my 3 year old has celiac disease and can't eat gluten.  This makes my life so much easier since friends and family can also purchase these products as well and no one can tell the difference between the gluten & the gluten free!!!,Thank you Betty Crocker,20,20,1.0,79,Positive,love cake mix 3 mixes well incredible amazon offers best price around thankful betty crocker coming mixes since 3 year old celiac disease cant eat gluten makes life much easier since friends family also purchase products well one tell difference gluten gluten free
4,A nice strong brew. I am new to Keurig and have lived on French press for years. This coffee is strong enough to compete.  It is a little on the bitter side like some of Starbucks coffees but I consider that a plus. I would rate it 5 stars but it's not French press,Double Black Diamond,0,0,0.0,54,Positive,nice strong brew new keurig lived french press years coffee strong enough compete little bitter side like starbucks coffees consider plus would rate 5 stars french press
5,"I just found PB2 and PB2 with chocolate and I am thrilled.  I love sugary goodies but I'm not a fan of calories and I don't like chocolate.  I thought I'd try PB2 with chocolate anyway and I'm so glad I did!  Eating a serving or two of PB2 with chocolate satisfies my sweet craving without breaking my calorie bank!  Sometimes, when I want to splurge, I spread some PB2 with chocolate on a graham cracker, spread some marshmallow fluff on another and sandwich them together! YUM!",Fantastic!,0,0,0.0,87,Positive,found pb2 pb2 chocolate thrilled love sugary goodies im fan calories dont like chocolate thought id try pb2 chocolate anyway im glad eating serving two pb2 chocolate satisfies sweet craving without breaking calorie bank sometimes want splurge spread pb2 chocolate graham cracker spread marshmallow fluff another sandwich together yum
5,Delightful mint tea as one would expect. Note that each tea bag is NOT individually wrapped; there is one bag inside the box which holds all of the tea bags in a ziploc pouch. I purchased these as a wedding favor (herbal-themed wedding) and it was fun bagging each one in its own small bag with a nice printed label and ribbon. The tea bag itself is good quality; I've never had one rip open and spill tea leaves into the tea.,Revolution tea is fantastic (for bagged tea),0,0,0.0,82,Positive,delightful mint tea one would expect note tea bag individually wrapped one bag inside box holds tea bags ziploc pouch purchased wedding favor herbalthemed wedding fun bagging one small bag nice printed label ribbon tea bag good quality ive never one rip open spill tea leaves tea
5,"I bought this mix for my father after a recommendation from a friend, and my father loves it so much, I had to order more for him.",My father's favourite,0,0,0.0,27,Positive,bought mix father recommendation friend father loves much order
5,I like the flavor of this product (no sweetener or other additives by me) and the benefits of the echinacea has fended off colds since my start of this tea.  Just plain out good for me.,Green Tea with Triple Echinacea,1,1,1.0,36,Positive,like flavor product sweetener additives benefits echinacea fended colds since start tea plain good
5,"I love Mott's Healthy Harvest applesauce cups. It is only fruit-no added sugar. These are blueberry, but in stores you can also get country berry, strawberry, peach, and granny smith apple. Most days, my kids have oatmeal. Instead of brown sugar, I stir in one of these cups which sweetens the oatmeal naturally as well as adds color in most cases.",My kids love these in their oatmeal,1,1,1.0,61,Positive,love motts healthy harvest applesauce cups fruitno added sugar blueberry stores also get country berry strawberry peach granny smith apple days kids oatmeal instead brown sugar stir one cups sweetens oatmeal naturally well adds color cases
5,"Our Black Lab, Moxie, LOVES to chew. We are thrilled with this natural chew. She loves it. She gets it for an hour or so each evening and you can tell she looks forward to it. Can't say enough good about it. Would highly recommend. Great quality,got it in two days. Overall, VERY satisfied.",Thrilled with this!,0,0,0.0,54,Positive,black lab moxie loves chew thrilled natural chew loves gets hour evening tell looks forward cant say enough good would highly recommend great qualitygot two days overall satisfied
5,I purchased these to snack on after my workouts. Now I find myself just snacking on them all the time!! They're really good and come in a variety of flavors.,A good after workout snack,0,0,0.0,30,Positive,purchased snack workouts find snacking time theyre really good come variety flavors
